 1,699 	240
 1,640 	48
 1,581 	48
 1,520 	48
 1,459 	48
 1,401 	48
 1,342 	48
 1,281 	48
 1,223 	48
 1,162 	48
 1,101 	48
 1,042 	48
 981 	48
 920 	48
 862 	48
 230 	48
 483 	48
 29 	48
 143 	48
 144 	48
 29 	48
 483 	48
 61 	48
 236 	48
 217 	96
 46 	24
 74 	48
 400 	24
 400 	24
 1,041 	24
 565 	24
 1,701 	240
 1,640 	48
 1,579 	48
 1,518 	48
 1,459 	48
 1,403 	48
 1,342 	48
 455 	48
 750 	48
 396 	96
 335 	96
 274 	96
 215 	96
 172 	48
 396 	48
 336 	96
 275 	96
 214 	96
 156 	48
 132 	48
 550 	48
 73 	48
 430 	24
 217 	72
 80 	24
 61 	24
 273 	24
 1,766 	24
 534 	24
 1,752 	24
 868 	24
 557 	24
 792 	24
 1,752 	24
 557 	24
